"source","object_id","original_location_str","site","no_samples","results","street_name","street_suffix","notes","geometry"
"Property Water Samples",85,"564 KAHENA STREET","TMK: 4-5-029:080",3,"<p> Sample Date: 10/16/23 <br> Lab Sample ID: 380-67545-7 <br> Analyte: Benzene <br> Result: 0.65 ug/L  <br> RL: 0.50 ug/L <p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69706-3 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69708-6 <br> Analyte: Benzene <br> Result: 0.81 ug/L  <br> RL: 0.50 ug/L","564 KAHENA","ST",NA,c(-156.6715349, 20.8837499)
"Property Water Samples",86,"349 KOMO MAI STREET","TMK: 4-5-038:011",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68052-1 <br> Reporting value: All VOCs are ND (Non-detect)","349 KOMO MAI","ST",NA,c(-156.6734531, 20.8836076)
"Property Water Samples",87,"357 KOMO MAI STREET","TMK: 4-5-038:012",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68052-2 <br> Reporting value: All VOCs are ND (Non-detect)","357 KOMO MAI","ST",NA,c(-156.6734053, 20.8836335)
"Property Water Samples",88,"365 KOMO MAI STREET","TMK: 4-5-038:013",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68052-3 <br> Reporting value: All VOCs are ND (Non-detect)","365 KOMO MAI","ST",NA,c(-156.6731388, 20.883775)
"Property Water Samples",89,"373 KOMO MAI STREET","TMK: 4-5-038:014",1,"<p> Sample Date: 10/19/23 <br> Lab Sample ID: 380-68052-4 <br> Analyte: Benzene <br> Result: 0.82 ug/L  <br> RL: 0.50 ug/L","373 KOMO MAI","ST",NA,c(-156.6730914, 20.8837984)
"Property Water Samples",90,"117 KOMO MAI STREET","TMK: 4-5-037:001",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68054-1 <br> Reporting value: All VOCs are ND (Non-detect)","117 KOMO MAI","ST",NA,c(-156.6783384, 20.8827041)
"Property Water Samples",91,"133 KOMO MAI STREET","TMK: 4-5-037:003",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68054-3 <br> Reporting value: All VOCs are ND (Non-detect)","133 KOMO MAI","ST",NA,c(-156.6780094, 20.8826106)
"Property Water Samples",92,"141 KOMO MAI STREET","TMK: 4-5-037:004",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68054-4 <br> Reporting value: All VOCs are ND (Non-detect)","141 KOMO MAI","ST",NA,c(-156.6778384, 20.8825633)
"Property Water Samples",93,"340 KOMO MAI STREET","TMK: 4-5-038:028",1,"<p> Sample Date: 10/19/23 <br> Lab Sample ID: 380-68053-2 <br> Analyte: Benzene <br> Result: 0.76 ug/L  <br> RL: 0.50 ug/L","340 KOMO MAI","ST",NA,c(-156.6736021, 20.8832961)
"Property Water Samples",94,"348 KOMO MAI STREET","TMK: 4-5-038:027",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68053-3 <br> Reporting value: All VOCs are ND (Non-detect)","348 KOMO MAI","ST",NA,c(-156.6733437, 20.8834365)
"Property Water Samples",95,"356 KOMO MAI STREET","TMK: 4-5-038:026",1,"<p> Sample Date: 10/19/23 <br> Lab Sample ID: 380-68053-4 <br> Analyte: Benzene <br> Result: 1.6 ug/L  <br> RL: 0.50 ug/L","356 KOMO MAI","ST",NA,c(-156.6732927, 20.8834607)
"Property Water Samples",96,"149 KOMO MAI STREET","TMK: 4-5-037:005",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68055-1 <br> Reporting value: All VOCs are ND (Non-detect)","149 KOMO MAI","ST",NA,c(-156.6776643, 20.8825247)
"Property Water Samples",97,"165 KOMO MAI STREET","TMK: 4-5-037:006",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68055-2 <br> Reporting value: All VOCs are ND (Non-detect)","165 KOMO MAI","ST",NA,c(-156.6774927, 20.8825005)
"Property Water Samples",98,"317 KOMO MAI STREET","TMK: 4-5-038:007",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68055-3 <br> Reporting value: All VOCs are ND (Non-detect)","317 KOMO MAI","ST",NA,c(-156.6740871, 20.8832765)
"Property Water Samples",99,"325 KOMO MAI STREET","TMK: 4-5-038:008",1,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68055-4 <br> Reporting value: All VOCs are ND (Non-detect)","325 KOMO MAI","ST",NA,c(-156.6739468, 20.8833509)
"Property Water Samples",100,"100 KOMO MAI STREET","TMK: 4-5-037:031",2,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-1 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-4 <br> Reporting value: All VOCs are ND (Non-detect)","100 KOMO MAI","ST",NA,c(-156.678571, 20.8825129)
"Property Water Samples",101,"108 KOMO MAI STREET","TMK: 4-5-037:030",2,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-1 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 10/19/23 <br> Lab Sample ID: 380-68051-5 <br> Analyte: Benzene <br> Result: 4.0 ug/L  <br> RL: 0.50 ug/L","108 KOMO MAI","ST",NA,c(-156.6785183, 20.8825095)
"Property Water Samples",102,"116 KOMO MAI STREET","TMK: 4-5-037:029",2,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-2 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-6 <br> Reporting value: All VOCs are ND (Non-detect)","116 KOMO MAI","ST",NA,c(-156.6782572, 20.8824603)
"Property Water Samples",103,"124 KOMO MAI STREET","TMK: 4-5-037:028",2,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-2 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-7 <br> Reporting value: All VOCs are ND (Non-detect)","124 KOMO MAI","ST",NA,c(-156.6782125, 20.8824486)
"Property Water Samples",104,"132 KOMO MAI STREET","TMK: 4-5-037:027",2,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-3 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 10/19/23 <br> Lab Sample ID: 380-68051-8 <br> Analyte: Benzene <br> Result: 1.1 ug/L  <br> RL: 0.50 ug/L","132 KOMO MAI","ST",NA,c(-156.6779738, 20.8823859)
"Property Water Samples",105,"140 KOMO MAI STREET","TMK: 4-5-037:026",2,"<p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-3 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 10/19/2023 <br> Lab Sample ID: 380-68051-9 <br> Reporting value: All VOCs are ND (Non-detect)","140 KOMO MAI","ST",NA,c(-156.6779228, 20.8823726)
"Property Water Samples",106,"381 KOMO MAI STREET","TMK: 4-5-038:015",2,"<p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69706-1 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69708-1 <br> Reporting value: All VOCs are ND (Non-detect)","381 KOMO MAI","ST",NA,c(-156.6728117, 20.8839562)
"Property Water Samples",107,"125 KOMO MAI STREET","TMK: 4-5-037:002",1,"<p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69711-1 <br> Reporting value: All VOCs are ND (Non-detect)","125 KOMO MAI","ST",NA,c(-156.6781808, 20.8826645)
"Property Water Samples",108,"94 KUPUOHI STREET","TMK: 4-5-010:020",1,"<p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69711-2 <br> Analyte: Toluene <br> Result: 25 ug/L  <br> RL: 0.50 ug/L  <p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69711-2 <br> Reporting value: All SVOCs are ND (Non-detect) ","94 KUPUOHI","ST",NA,c(-156.6780173, 20.8838603)
"Property Water Samples",109,"106 KUPUOHI STREET","TMK: 4-5-010:020",1,"<p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69711-3 <br> Reporting value: All VOCs are ND (Non-detect)			  <p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69711-3 <br> Reporting value: All SVOCs are ND (Non-detect) ","106 KUPUOHI","ST",NA,c(-156.6777179, 20.8837767)
"Property Water Samples",110,"118 KUPUOHI STREET","TMK: 4-5-010:020",1,"<p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69711-4 <br> Reporting value: All VOCs are ND (Non-detect)			  <p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69711-4 <br> Reporting value: All SVOCs are ND (Non-detect) ","118 KUPUOHI","ST",NA,c(-156.6776714, 20.8837733)
"Property Water Samples",111,"15 E KUU AKU LN","TMK: 4-5-011:010",1,"<p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69711-5 <br> Reporting value: All VOCs are ND (Non-detect)			  <p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69711-5 <br> Reporting value: All SVOCs are ND (Non-detect) ","15 E KUU AKU LN",NA,NA,c(-156.6803359, 20.8847058)
"Property Water Samples",112,"KOMO MAI STREET, LAHAINA","TMK: 4-5-037:033",2,"<p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69709-1 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 11/06/23 <br> Sample ID: 380-70232-1 <br> Analyte: Nitrate as N, and Copper  <br> Result: 0.19 mg/L, and 7.5 mg/L respectively <br> for Total metals see attached ","KOMO MAI","ST",NA,c(-156.6753123, 20.8826484)
"Property Water Samples",113,"KOMO MAI STREET, LAHAINA","Komo Mai Street ARV",2,"<p> Sample Date: 11/02/23 <br> Lab Sample ID: 380-69709-2 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 11/06/23 <br> Sample ID: 380-70232-2 <br> Analyte: Nitrate as N, and Copper  <br> Result: 0.19 mg/L, and 9.5 mg/L respectively <br> for Total metals see attached   ","KOMO MAI","ST",NA,c(-156.6764927, 20.8826768)
"Property Water Samples",114,"1265 AINAKEA ROAD","TMK: 4-5-012:076",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72293-1 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72312-1 <br> Reporting value: All VOCs are ND (Non-detect)","1265 AINAKEA","RD",NA,c(-156.6826023, 20.8886758)
"Property Water Samples",115,"1273 AINAKEA ROAD","TMK: 4-5-012:075",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72293-1 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72312-2 <br> Analyte: Styrene <br> Result: 1.2 ug/L  <br> RL: 0.50 ug/L","1273 AINAKEA","RD",NA,c(-156.6826059, 20.8887493)
"Property Water Samples",116,"1245 AINAKEA ROAD","TMK: 4-5-012:068",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72293-2 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72312-3 <br> Reporting value: All VOCs are ND (Non-detect)","1245 AINAKEA","RD",NA,c(-156.6824911, 20.8881019)
"Property Water Samples",117,"1253 AINAKEA ROAD","TMK: 4-5-012:077",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72293-2 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72312-4 <br> Reporting value: All VOCs are ND (Non-detect)","1253 AINAKEA","RD",NA,c(-156.6825215, 20.8881871)
"Property Water Samples",118,"1255 AINAKEA ROAD","TMK: 4-5-012:069",2," <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72293-3 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72312-5 <br> Reporting value: All VOCs are ND (Non-detect)","1255 AINAKEA","RD",NA,c(-156.6828711, 20.8881029)
"Property Water Samples",119,"1239 AINAKEA ROAD","TMK: 4-5-012:067",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72293-4 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72312-6 <br> Reporting value: All VOCs are ND (Non-detect)","1239 AINAKEA","RD",NA,c(-156.6824348, 20.887945)
"Property Water Samples",120,"127 HINAU STREET A","TMK: 4-5-007:034",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72296-1 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72315-1 <br> Reporting value: All VOCs are ND (Non-detect)","127 HINAU","ST",NA,c(-156.6809736, 20.8818537)
"Property Water Samples",121,"1600 LIMAHANA CIRCLE","TMK 4-5-011:001",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72296-2 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72315-3 <br> Reporting value: All VOCs are ND (Non-detect)","1600 LIMAHANA","CIR",NA,c(-156.6804875, 20.8827404)
"Property Water Samples",122,"2000 LIMAHANA CIRCLE","TMK: 4-5-011:001",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72296-2 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72315-3 <br> Reporting value: All VOCs are ND (Non-detect)","2000 LIMAHANA","CIR",NA,c(-156.6805733, 20.8827604)
"Property Water Samples",123,"1270 NAHALE PLACE","TMK: 4-5-012:095",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72299-1 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72318-1 <br> Reporting value: All VOCs are ND (Non-detect)","1270 NAHALE","PL",NA,c(-156.6816217, 20.8889727)
"Property Water Samples",124,"1276 NAHALE PLACE","TMK: 4-5-012:094",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72299-1 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72318-2 <br> Reporting value: All VOCs are ND (Non-detect)","1276 NAHALE","PL",NA,c(-156.6816244, 20.889027)
"Property Water Samples",125,"1275 NAHALE PLACE","TMK: 4-5-012:092",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72299-2 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72318-3 <br> Reporting value: All VOCs are ND (Non-detect)","1275 NAHALE","PL",NA,c(-156.681881, 20.8890813)
"Property Water Samples",126,"1273 NAHALE PLACE","TMK: 4-5-012:091",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72299-2 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72318-4 <br> Reporting value: All VOCs are ND (Non-detect)	","1273 NAHALE","PL",NA,c(-156.6819069, 20.8890453)
"Property Water Samples",127,"1267 NAHALE PLACE","TMK: 4-5-012:090",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72299-3 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72318-5 <br> Reporting value: All VOCs are ND (Non-detect)","1267 NAHALE","PL",NA,c(-156.681915, 20.8887338)
"Property Water Samples",128,"1259 NAHALE PLACE","TMK: 4-5-012:089",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72299-3 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72318-6 <br> Analyte: Benzene <br> Result: 0.81 ug/L  <br> RL: 0.50 ug/L","1259 NAHALE","PL",NA,c(-156.6819114, 20.8886887)
"Property Water Samples",129,"1277 NAHALE PLACE","TMK: 4-5-012:093",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72299-4 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72318-7 <br> Reporting value: All VOCs are ND (Non-detect)","1277 NAHALE","PL",NA,c(-156.6817751, 20.8891353)
"Property Water Samples",130,"1287 AINAKEA ROAD","TMK: 4-5-012:073",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72300-1 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72345-2 <br> Reporting value: All VOCs are ND (Non-detect)","1287 AINAKEA","RD",NA,c(-156.6826161, 20.8892915)
"Property Water Samples",131,"1285 AINAKEA ROAD","TMK: 4-5-012:072",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72300-1 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72345-1 <br> Analyte: Benzene <br> Result: 2.6 ug/L  <br> RL: 0.50 ug/L","1285 AINAKEA","RD",NA,c(-156.6826154, 20.8892605)
"Property Water Samples",132,"1279 AINAKEA ROAD","TMK: 4-5-012:073",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72300-2 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72345-3 <br> Reporting value: All VOCs are ND (Non-detect)","1279 AINAKEA","RD",NA,c(-156.6826058, 20.889038)
"Property Water Samples",133,"1263 AINAKEA ROAD","TMK: 4-5-012:070",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72300-3 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72345-5 <br> Reporting value: All VOCs are ND (Non-detect)","1263 AINAKEA","RD",NA,c(-156.6828374, 20.8886728)
"Property Water Samples",134,"127 HINAU STREET B","TMK: 4-5-007:034",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72296-1 <br> Reporting value: All SVOCs are ND (Non-detect)  <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72315-2 <br> Reporting value: All VOCs are ND (Non-detect)","127 HINAU","ST",NA,c(-156.6809564, 20.8818258)
"Property Water Samples",135,"1254 AINAKEA ROAD","TMK: 4-5-012:083",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72321-1 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72304-1 <br> Reporting value: All SVOCs are ND (Non-detect) ","1254 AINAKEA","RD",NA,c(-156.6823571, 20.8883674)
"Property Water Samples",136,"1260 AINAKEA ROAD","TMK: 4-5-012:082",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72321-2 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72304-1 <br> Reporting value: All SVOCs are ND (Non-detect) ","1260 AINAKEA","RD",NA,c(-156.6823659, 20.888407)
"Property Water Samples",137,"1266 AINAKEA ROAD","TMK: 4-5-012:081",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72321-3 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72304-2 <br> Reporting value: All SVOCs are ND (Non-detect) ","1266 AINAKEA","RD",NA,c(-156.6824016, 20.8887489)
"Property Water Samples",138,"1274 AINAKEA ROAD","TMK: 4-5-012:080",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72321-4 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72304-2 <br> Reporting value: All SVOCs are ND (Non-detect) ","1274 AINAKEA","RD",NA,c(-156.6824068, 20.8887847)
"Property Water Samples",139,"1288 AINAKEA ROAD","TMK: 4-5-012:078",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72321-5 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72304-3 <br> Reporting value: All SVOCs are ND (Non-detect) ","1288 AINAKEA","RD",NA,c(-156.6824215, 20.8891536)
"Property Water Samples",140,"1280 AINAKEA ROAD","TMK: 4-5-012:079",2,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72321-6 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72304-3 <br> Reporting value: All SVOCs are ND (Non-detect) ","1280 AINAKEA","RD",NA,c(-156.6824156, 20.889115)
"Property Water Samples",141,"1281 AINAKEA ROAD","TMK: 4-5-012:071",1,"<p> Sample Date: 11/20/23 <br> Lab Sample ID: 380-72345-4 <br> Reporting value: All VOCs are ND (Non-detect)","1281 AINAKEA","RD",NA,c(-156.6831583, 20.8890199)
"Property Water Samples",142,"1429 FRONT STREET","TMK: 4-5-013:005",1,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73353-1 <br> Reporting value: All VOCs are ND (Non-detect)","1429 FRONT","ST",NA,c(-156.6851757, 20.8918783)
"Property Water Samples",143,"1433 FRONT STREET","TMK: 4-5-013:006",1,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73353-2 <br> Reporting value: All VOCs are ND (Non-detect)","1433 FRONT","ST",NA,c(-156.6852132, 20.8922358)
"Property Water Samples",144,"1437 FRONT STREET","TMK: 4-5-013:025",1,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73353-3 <br> Reporting value: All VOCs are ND (Non-detect)","1437 FRONT","ST",NA,c(-156.685224, 20.892321)
"Property Water Samples",145,"1441 FRONT STREET","TMK: 4-5-013:007",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73353-4 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73768-1 <br> Reporting value: All SVOCs are ND (Non-detect)","1441 FRONT","ST",NA,c(-156.6852418, 20.892443)
"Property Water Samples",146,"1449 FRONT STREET","TMK: 4-5-013:008",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73353-5 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73768-2 <br> Reporting value: All SVOCs are ND (Non-detect)","1449 FRONT","ST",NA,c(-156.6852472, 20.8925649)
"Property Water Samples",147,"1450 FRONT STREET LEFT","TMK: 4-5-013:009",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73353-7 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73768-4 <br> Reporting value: All SVOCs are ND (Non-detect) ","1450 FRONT","ST",NA,c(-156.6851149, 20.8929609)
"Property Water Samples",148,"1450 FRONT STREET RIGHT","TMK: 4-5-013:009",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73353-6 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73768-3 <br> Reporting value: All SVOCs are ND (Non-detect) ","1450 FRONT","ST",NA,c(-156.685097, 20.892894)
"Property Water Samples",149,"1318 FRONT STREET","TMK: 4-5-012:015",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73356-1 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73772-1 <br> Reporting value: All SVOCs are ND (Non-detect) ","1318 FRONT","ST",NA,c(-156.6846923, 20.8880806)
"Property Water Samples",150,"1370 FRONT STREET","TMK: 4-5-012:005",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73356-2 <br> Analyte: Toluene <br> Result: 5.3 ug/L  <br> RL: 0.50 ug/L <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73772-2 <br> Reporting value: All SVOCs are ND (Non-detect) ","1370 FRONT","ST",NA,c(-156.6847782, 20.8897562)
"Property Water Samples",151,"1381 FRONT STREET","TMK: 4-5-012:001",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73356-3 <br> Reporting value: All VOCs are ND (Non-detect)  <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73772-3 <br> Reporting value: All SVOCs are ND (Non-detect) ","1381 FRONT","ST",NA,c(-156.6849704, 20.88996)
"Property Water Samples",152,"1391 FRONT STREET","TMK: 4-5-013:001",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73356-4 <br> Analyte: Toluene <br> Result: 0.64 ug/L  <br> RL: 0.50 ug/L  <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73772-4 <br> Reporting value: All SVOCs are ND (Non-detect) ","1391 FRONT","ST",NA,c(-156.6850044, 20.8903376)
"Property Water Samples",153,"1398 FRONT STREET","TMK: 4-5-012:060",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73356-5 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73772-5 <br> Reporting value: All SVOCs are ND (Non-detect) ","1398 FRONT","ST",NA,c(-156.684864, 20.8906375)
"Property Water Samples",154,"1411 FRONT STREET","TMK: 4-5-013:026",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73356-6 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73772-6 <br> Reporting value: All SVOCs are ND (Non-detect) ","1411 FRONT","ST",NA,c(-156.6850804, 20.891198)
"Property Water Samples",155,"1421 FRONT STREET","TMK: 4-5-013:003",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73356-7 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/04/23 <br> Lab Sample ID: 380-73772-7 <br> Reporting value: All SVOCs are ND (Non-detect) ","1421 FRONT","ST",NA,c(-156.6851126, 20.8914677)
"Property Water Samples",156,"1423 FRONT STREET","TMK: 4-5-013:004",1,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73356-8 <br> Reporting value: All VOCs are ND (Non-detect)","1423 FRONT","ST",NA,c(-156.6851385, 20.8916707)
"Property Water Samples",157,"1430 FRONT STREET","TMK: 4-5-013:016",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73360-1 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73367-1 <br> Reporting value: All SVOCs are ND (Non-detect) ","1430 FRONT","ST",NA,c(-156.685008, 20.8919865)
"Property Water Samples",158,"1426 FRONT STREET","TMK: 4-5-013:017",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73360-2 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73367-1 <br> Reporting value: All SVOCs are ND (Non-detect) ","1426 FRONT","ST",NA,c(-156.6849963, 20.8919347)
"Property Water Samples",159,"1410 FRONT STREET A (FRONT)","TMK: 4-5-013:019",2,"<p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73360-3 <br> Reporting value: All VOCs are ND (Non-detect) <p> Sample Date: 12/01/23 <br> Lab Sample ID: 380-73367-2 <br> Reporting value: All SVOCs are ND (Non-detect)","1410 FRONT","ST",NA,c(-156.6849087, 20.8912364)
